a:[16923, 6621]
aa:[292, 78]
aaa:[16, 43]
aaaa:[2, 0]
aaaaaa:[4, 0]
aaaaaaa:[2, 0]
aaaaaaaaaa:[0, 5]
aaaaaaaaaaaaaaa:[1, 0]
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:[5, 0]
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaach:[1, 0]
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaafhzwiaaaaaaaadzuqabaaaa:[1, 0]
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadhcsu:[1, 0]
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaazgvzywaaaaaaaaausuvdidyxoty:[1, 0]
aaaaaaaaaaaaaaaaaaaaaaabaaaaaaaaaaaaaajmaaaarqaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:[1, 0]
aaaaaaaaaaaaaaaaaaaaaaary:[1, 0]
aaaaaaaaaaaaaaaaaqiqesbb:[1, 0]
aaaaaaaaaaaaaaaberahmuh:[1, 0]
aaaaaaaaaaaaaab:[1, 0]
aaaaaaaaaaaaaaeaapbwaaeaaaaa:[1, 0]
aaaaaaaaaaaaaduaaabpaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadhcsu:[1, 0]
aaaaaaaaaaaaoejjtqptcljlc:[1, 0]
aaaaaaaaaaababeh:[1, 0]
aaaaaaaaaaababeqqsahmvh:[1, 0]
aaaaaaaaaabiaaaavgaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:[1, 0]
aaaaaaaaaadz:[0, 1]
aaaaaaabaaireiaqisixqqmyuyetqmh:[1, 0]
aaaaaaabagadbbefehmuiravicjaqte:[0, 1]
aaaaaaaberasaiewmsbbuubqyf:[0, 1]
aaaaaaatpp:[1, 0]
aaaaaacaaqaaaaebap:[1, 0]
aaaaad:[4, 0]
aaaaaeaesaaaaaqacaswaaaabaai:[1, 0]
aaaaaf:[2, 0]
aaaaanyway:[0, 1]
aaaaaqataaaabgaaaaaaathcsu:[3, 0]
aaaaaresahahidbraxmxikbbugh:[0, 1]
aaaaasaq:[1, 0]
aaaaavqaaaaebaaaadwbbagqabwbiagua:[1, 0]
aaaabaaaaaaaaaaaaaaaaaaaaaaaaaaeaaaaaaaaaaaaaag:[1, 0]
aaaabrfbfaaaaaaa:[0, 1]
aaaaeagwabwbnag:[1, 0]
aaaayvbdwqylzk:[1, 0]
aaabagmeequsitetfdjbuxgbofbcyzgx:[1, 0]
aaabagmqetesiuh:[1, 0]
aaabaqaaaa:[1, 0]
aaabbqebaqebaqaaaaaaaaadaaecbaug:[1, 0]
aaacl:[1, 0]
aaadesin:[1, 0]
aaadgib:[1, 0]
aaadkfhzwiaaaaaaaabimqaa:[1, 0]
aaaeaaaahjhcsu:[1, 0]
aaaeaaqaaaaaaaaaaaaaaaeaiabkbkaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:[1, 0]
aaaeeawebaaaaaaaaaaaaaaafbgciagmeaqkbaqaabweaaaaaaaaaaaaaaaab:[1, 0]
aaaef:[2, 0]
aaaefaqebaqebaaaaaaaaaamaaqiebqyh:[1, 0]
aaaefaqebaqebaaaaaaaaaamaaqiebqyhcakkcweaaqubaqebaqeaaaaaaaaa:[1, 0]
aaagb:[2, 0]
aaagbaqabbql:[1, 0]
aaagbaqabbqluohbyw:[1, 0]
aaagbaqabpxcjnohvaok:[1, 0]
aaagbaqabpxcoueai:[0, 1]
aaagbaqabpxdzeif:[1, 0]
aaagbaqagpwklo:[1, 0]
aaagbaqagpwl:[0, 1]
aaagbaqagpwlituixv:[1, 0]
aaagbawebpwfoln:[1, 0]
aaagbawebpwh:[0, 1]
aaah:[1, 0]
aaahoejjtqqmfu:[1, 0]
aaai:[1, 0]
aaakdgvjaaaabdaaaaamclrsqwaabdwaaagmz:[1, 0]
aaakoojskracdh:[1, 0]
aaamsexpbm:[1, 0]
aaaoejjtqqac:[3, 0]
aaaqaegaqgacaaiasabcaaiaajhcsu:[2, 0]
aaaqagp:[1, 0]
aaar:[0, 2]
aaasgaqwcmeevz:[1, 0]
aaasjaaaavm:[1, 0]
aaaticketsource:[3, 0]
aaatrading:[3, 0]
aaawdaqacaamaaaaqtkb:[1, 0]
aaawdaqaceamqaaab:[1, 1]
